,Answer ID,Date,Phase,Type of territory,Borough / Linked city,Trade status,Stakes: Financial support?,Stakes: Maintenance of operations?,Stakes: Taxation (taxes and levies)?,Stakes: Human resources?,Stakes: Regulation?,Stakes: Marketing?,Stakes: Health and safety?,Stakes: Search for sanitary equipment?,Stakes: Space planning?,Stakes: Permit for outdoor terraces?,Stakes: Other?,Interest in the emergency aid program?,Social media presence?,Presence on Facebook?,Presence on Twitter?,Presence on Instagram?,Presence on LinkedIn?,Do you sell online?,Online sales channel,Do you know the urban delivery service?,Are you interested in the urban delivery service?,Interest in the support program for the digital transformation of companies?,Do you offer a delivery service?,Are you satisfied with your current delivery service?,Would you be interested in the urban delivery service (by bike) set up by the City of Montreal and its partners if you had access?,Was the information we gave you useful to you?
0,1,2020-05-12,1,Arrondissement,Le Plateau-Mont-Royal,Ouvert,,Oui,,Oui,,,,,,,Oui,Non,Non,,,,,Non,Pas de vente en ligne,Sans réponse,Sans réponse,"Non, je n'ai pas d'intérêt à faire un virage numérique",Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Non
1,2,2020-05-12,1,Arrondissement,Outremont,Partiellement ouvert,Oui,,,,,,,,,,,Non,Non,,,,,Non,Pas de vente en ligne,Non,Oui,"Non, je n'ai pas d'intérêt à faire un virage numérique",Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
2,3,2020-05-12,1,Arrondissement,Le Plateau-Mont-Royal,Ouvert,,,,Oui,,,Oui,Oui,,,Oui,Oui,Oui,Oui,,Oui,,Oui,Site transactionnel,Oui,Non,"Non, j'ai déjà ce qu'il me faut pour faire un virage numérique",Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
3,4,2020-05-12,1,Arrondissement,Le Plateau-Mont-Royal,Fermé,Oui,,,,,,,,,,,Oui,Non,,,,,Non,Pas de vente en ligne,Oui,Non,Je ne sais pas,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
4,5,2020-05-12,1,Arrondissement,Le Plateau-Mont-Royal,Statut inconnu,Oui,Oui,,,,Oui,Oui,Oui,,,,Oui,Oui,Oui,,Oui,,Oui,Site transactionnel,Non,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
5,6,2020-05-12,1,Arrondissement,Le Plateau-Mont-Royal,Ouvert,,,,,,,Oui,Oui,,,,Oui,Non,,,,,Non,Pas de vente en ligne,Oui,Non,"Non, j'ai déjà ce qu'il me faut pour faire un virage numérique",Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
6,7,2020-05-12,1,Arrondissement,Le Plateau-Mont-Royal,Partiellement ouvert,Oui,,,,,,Oui,Oui,,,,Oui,Oui,Oui,,Oui,,Oui,Site transactionnel,Oui,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
7,8,2020-05-12,1,Arrondissement,Le Plateau-Mont-Royal,Partiellement ouvert,Oui,Oui,,,,,Oui,,,,,Oui,Non,,,,,Non,Pas de vente en ligne,Non,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
8,9,2020-05-12,1,Arrondissement,Outremont,Fermé,,,,,,Oui,,,,,,Oui,Oui,Oui,,Oui,,Oui,Site transactionnel,Oui,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
9,10,2020-05-12,1,Arrondissement,Le Plateau-Mont-Royal,Ouvert,,,,,,,Oui,Oui,,,,Oui,Non,,,,,Non,Pas de vente en ligne,Non,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
10,11,2020-05-12,1,Arrondissement,Côte-des-Neiges-Notre-Dame-de-Grâce,Ouvert,,,,,Oui,,Oui,,,,,Oui,Oui,,,,,Oui,Site transactionnel,Oui,Non,"Non, j'ai déjà ce qu'il me faut pour faire un virage numérique",Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Non
11,12,2020-05-12,1,Arrondissement,Outremont,Partiellement ouvert,,,,,Oui,,Oui,,,,,Oui,Oui,,,,,Oui,Site transactionnel,Sans réponse,Sans réponse,"Non, j'ai déjà ce qu'il me faut pour faire un virage numérique",Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Non
