,Type of territory,Borough / Linked city,Stakes: Financial support?,Stakes: Maintenance of operations?,Stakes: Taxation (taxes and levies)?,Stakes: Human resources?,Stakes: Regulation?,Stakes: Marketing?,Stakes: Health and safety?,Stakes: Search for sanitary equipment?,Stakes: Space planning?,Stakes: Permit for outdoor terraces?,Stakes: Other?,Interest in the emergency aid program?,Social media presence?,Presence on Facebook?,Presence on Twitter?,Presence on Instagram?,Presence on LinkedIn?,Do you sell online?,Online sales channel,Do you know the urban delivery service?,Are you interested in the urban delivery service?,Interest in the support program for the digital transformation of companies?,Do you offer a delivery service?,Are you satisfied with your current delivery service?,Would you be interested in the urban delivery service (by bike) set up by the City of Montreal and its partners if you had access?,Was the information we gave you useful to you?,label
909,1,4,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,3,3,3,4,4,4,3,5,2,1
1048,1,20,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,3,3,1,2,1,4,3,5,1,1
1845,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,3,3,3,4,4,5,4,6,2,1
1758,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,2,4,3,4,0,1,4,1,1,1
949,2,19,1,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,3,3,0,1,2,4,3,5,1,1
932,2,7,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,2,4,0,3,3,4,3,5,1,1
1650,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2,3,4,1,0,2,0,1,1
1596,2,5,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,2,3,4,2,1,4,1,1,1
739,1,4,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,2,1,2,2,4,3,5,0,1
934,1,15,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2,0,3,3,4,3,5,1,1
1874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,4,3,4,1,1,4,1,1,1
684,1,9,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2,0,3,3,4,3,5,1,1
589,2,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,2,3,4,3,5,1,1
873,2,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,4,3,5,1,0
242,1,11,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3,3,3,4,4,4,3,5,2,3
354,1,26,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,2,0,3,3,4,3,5,1,1
44,1,26,1,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,3,3,3,4,4,4,3,5,1,1
747,1,9,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,2,3,4,3,5,1,1
70,1,11,1,1,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,2,3,4,0,4,3,5,0,1
903,1,25,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,4,0,3,1,4,3,5,1,1
1683,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,2,4,3,4,0,1,4,1,1,1
843,1,4,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2,1,2,3,4,3,5,1,1
371,1,21,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,3,3,3,4,4,4,3,5,2,3
1735,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,3,4,0,0,2,3,1,1
953,1,23,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3,3,3,4,4,4,3,5,1,1
1398,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,2,3,4,3,3,1,3,1,1
1678,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,3,3,3,4,4,5,4,6,2,3
302,1,26,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,1,2,2,4,3,5,1,2
1318,1,4,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,2,3,4,2,3,0,0,1,2
1109,2,27,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3,3,3,4,4,5,4,6,2,1
124,1,17,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,2,0,3,3,4,3,5,1,1
1021,1,21,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,3,1,2,0,4,3,5,1,1
774,1,23,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,1,2,3,4,3,5,1,2
1220,1,26,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3,3,3,4,3,3,0,3,1,1
1519,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,3,3,3,4,4,5,4,6,2,1
787,1,22,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,2,1,4,3,5,1,2
642,1,22,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,2,0,4,3,5,1,1
701,1,4,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,1,2,3,4,3,5,1,1
1682,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,3,3,3,4,4,5,4,6,2,3
